Key,en,es,ar,fr
Cancel,Cancel,Cancelar,يلغي,Annuler
User Status,User Status,Estatus de usuario,حالة المستخدم,Statut de l'utilisateur
Email Verification,Email Verification,verificacion de email,تأكيد بواسطة البريد الالكتروني,vérification de l'E-mail
Mode,Mode,Modo,وضع,Mode
User Registration,User Registration,registro de usuario,تسجيل المستخدم,Enregistrement de l'utilisateur
Secure Password,Secure Password,Contraseña segura,كلمة مرور تأمين,Mot de passe sécurisé
Agree Policy,Agree Policy,Política de acuerdo,توافق على السياسة,Convenir de la politique
Activated,Activated,Activado,مفعل,Activé
Deactivated,Deactivated,Desactivado,إلغاء تنشيط,Désactivé
Email Notification,Email Notification,Notificación de correo electrónico,إشعار البريد الإلكتروني,Notification par e-mail
Card Limit Within (1 to 3),Card Limit Within (1 to 3),Límite de la tarjeta dentro (1 a 3),حد البطاقة داخل (1 إلى 3),Limite de la carte à l'intérieur (1 à 3)
Force SSL,Force SSL,Forzar SSL,قوة SSL,Force SSL
Password Reset Link sended to your email address.,Password Reset Link sended to your email address.,Enlace de restablecimiento de contraseña enviado a su dirección de correo electrónico.,تم إرسال رابط إعادة تعيين كلمة المرور إلى عنوان بريدك الإلكتروني.,Lien de réinitialisation du mot de passe envoyé à votre adresse e-mail.
Successfully updated password. Please login,Successfully updated password. Please login,Contraseña actualizada correctamente. Por favor Iniciar sesión,تم تحديث كلمة المرور بنجاح. الرجاء تسجيل الدخول,Mot de passe mis à jour avec succès. Veuillez vous connecter
Add money details for,Add money details for,Agregar detalles de dinero para,إضافة تفاصيل المال ل,Ajouter des détails en argent pour
Add Money request approved successfully,Add Money request approved successfully,Agregar solicitud de dinero aprobada con éxito,أضف طلب الأموال المعتمدة بنجاح,Ajouter la demande d'argent approuvée avec succès
Opps! Failed to send mail. Please recheck your mail credentials or reconfigure mail,Opps! Failed to send mail. Please recheck your mail credentials or reconfigure mail,¡Opps! No se pudo enviar correo. Vuelva a verificar sus credenciales de correo o reconfigurar el correo,أوس! فشل في إرسال البريد. يرجى إعادة فحص بيانات اعتماد البريد الخاصة بك أو إعادة تكوين البريد,OPPS! Échec de l'envoi du courrier. Veuillez revérifier vos informations d'identification de courrier ou reconfigurer le courrier
Admin Roles,Admin Roles,Roles de administración,أدوار المشرف,Rôles administratifs
Opps! Target role not found!,Opps! Target role not found!,¡Opps! ¡Rol de objetivo no encontrado!,أوس! الدور المستهدف لم يتم العثور عليه!,OPPS! Rôle cible introuvable!
Admin role updated successfully!,Admin role updated successfully!,¡Rol de administración actualizado con éxito!,تم تحديث دور المسؤول بنجاح!,Rôle de l'administrateur mis à jour avec succès!
Super admin role can,Super admin role can,El rol super administrador puede,يمكن لدور المشرف السوبر,Le rôle du super administrateur peut
Permission Group,Permission Group,Grupo de permisos,مجموعة الإذن,Groupe d'autorisation
Broadcast configuration updated successfully!,Broadcast configuration updated successfully!,¡Configuración de transmisión actualizada con éxito!,تم تحديث تكوين البث بنجاح!,Diffuser la configuration mise à jour avec succès!
All Contact Message,All Contact Message,Todo el mensaje de contacto,جميع رسالة الاتصال,Tout le message de contact
Wallet generated successfully!,Wallet generated successfully!,¡Billetera generada con éxito!,ولدت محفظة بنجاح!,Le portefeuille généré avec succès!
Balance Updated Successfully!,Balance Updated Successfully!,¡Saldo actualizado con éxito!,توازن تم تحديثه بنجاح!,Équilibrez à jour avec succès!
Wallet Added Successfully!,Wallet Added Successfully!,¡La billetera se agregó con éxito!,وأضافت محفظة بنجاح!,Le portefeuille a ajouté avec succès!
Wallet Address Deleted Successfully!,Wallet Address Deleted Successfully!,¡Dirección de billetera eliminada con éxito!,عنوان محفظة تم حذفها بنجاح!,Adresse du portefeuille supprimé avec succès!
Wallet Information not found!,Wallet Information not found!,¡Información de la billetera no encontrada!,معلومات المحفظة غير موجودة!,Informations sur le portefeuille introuvables!
Wallet Status Changed Successfully!,Wallet Status Changed Successfully!,¡El estado de la billetera cambió con éxito!,تغيرت حالة المحفظة بنجاح!,Le statut de portefeuille a changé avec succès!
Crypto Asset Not Found!,Crypto Asset Not Found!,¡CRYPTO ASSET no encontrado!,أصول التشفير لم يتم العثور عليها!,Crypto Asset introuvable!
Default currency make failed! Please try again.,Default currency make failed! Please try again.,¡Falló la moneda predeterminada! Inténtalo de nuevo.,العملة الافتراضية تجعل فشل! حاول مرة اخرى.,L'échec de la monnaie par défaut a échoué! Veuillez réessayer.
Currency Saved Successfully!,Currency Saved Successfully!,¡Moneda ahorrada con éxito!,العملة المحفوظة بنجاح!,La monnaie a économisé avec succès!
Currency record not found in our system.,Currency record not found in our system.,Registro de divisas no se encuentra en nuestro sistema.,سجل العملة غير موجود في نظامنا.,Enregistrement des devises que l'on ne trouve pas dans notre système.
Currency status updated successfully!,Currency status updated successfully!,¡Estado de divisas actualizado con éxito!,تم تحديث حالة العملة بنجاح!,Statut de devise mis à jour avec succès!
Currency not found!,Currency not found!,¡Moneda no encontrada!,العملة لم يتم العثور عليها!,Devise introuvable!
Image file upload failed!,Image file upload failed!,¡Falló la carga del archivo de imagen!,فشل تحميل ملف الصورة!,Le téléchargement de fichiers d'image a échoué!
Successfully updated the information.,Successfully updated the information.,Actualizó con éxito la información.,تم تحديث المعلومات بنجاح.,Mis à jour avec succès les informations.
Currency deleted successfully!,Currency deleted successfully!,¡Moneda eliminada con éxito!,تم حذف العملة بنجاح!,Devise supprimée avec succès!
Extension has been updated successfully,Extension has been updated successfully,La extensión se ha actualizado con éxito,تم تحديث التمديد بنجاح,L'extension a été mise à jour avec succès
Extension is not found!,Extension is not found!,¡No se encuentra la extensión!,لم يتم العثور على التمديد!,L'extension n'est pas trouvée!
Extension status is updated successfully!,Extension status is updated successfully!,¡El estado de extensión se actualiza con éxito!,يتم تحديث حالة التمديد بنجاح!,Le statut d'extension est mis à jour avec succès!
Language created successfully!,Language created successfully!,¡Lenguaje creado con éxito!,اللغة التي تم إنشاؤها بنجاح!,Langue créée avec succès!
Language updated successfully!,Language updated successfully!,¡Lenguaje actualizado con éxito!,تم تحديث اللغة بنجاح!,Langue mise à jour avec succès!
File remove failed!,File remove failed!,Archivo eliminar fallado!,فشل إزالة الملف!,Le fichier Supprimer a échoué!
Language deleted successfully!,Language deleted successfully!,Lenguaje eliminado con éxito!,تم حذف اللغة بنجاح!,Langue supprimée avec succès!
Please deselect your default language first.,Please deselect your default language first.,"Por favor, anule la selección de su idioma predeterminado.",يرجى إلغاء تحديد لغتك الافتراضية أولاً.,Veuillez d'abord désélectionner votre langue par défaut.
Language status updated successfully!,Language status updated successfully!,Estado del idioma actualizado con éxito!,تم تحديث حالة اللغة بنجاح!,Statut linguistique mis à jour avec succès!
Sorry! Language not found!,Sorry! Language not found!,¡Lo siento! ¡Lenguaje no encontrado!,آسف! اللغة لم يتم العثور عليها!,Désolé! Langue introuvable!
Failed to store new file.,Failed to store new file.,No se pudo almacenar un archivo nuevo.,فشل في تخزين ملف جديد.,Impossible de stocker un nouveau fichier.
Oops! Language not found!,Oops! Language not found!,¡Ups! ¡Lenguaje no encontrado!,أُووبس! اللغة لم يتم العثور عليها!,Oops! Langue introuvable!
Language switch successfully!,Language switch successfully!,¡Cambio de idioma con éxito!,تبديل اللغة بنجاح!,Commutation linguistique avec succès!
File does not exists.,File does not exists.,El archivo no existe.,الملف لا يوجد.,Le fichier n'existe pas.
Withdraw money details for,Withdraw money details for,Retirar detalles de dinero para,سحب تفاصيل المال ل,Retirer les détails de l'argent pour
Automatic Add Money,Automatic Add Money,Automático Agregar dinero,تلقائي إضافة المال,Ajouter automatiquement Ajouter de l'argent
Manual Add Money,Manual Add Money,Manual Agregar dinero,دليل إضافة المال,Manuel Ajouter de l'argent
Automatic Add Money Edit,Automatic Add Money Edit,Automático agregar dinero editar,إضافة أموال تلقائي,Ajouter automatique Ajouter MODIFICATION
Manual Add Money Edit,Manual Add Money Edit,Manual Agregar dinero editar,يدوي إضافة أموال تحرير,Manuel Ajouter de l'argent Modifier
Money Out Edit,Money Out Edit,Dinero fuera editar,المال خارج تحرير,Money Out Edit
Selected payment gateway is invalid!,Selected payment gateway is invalid!,¡La pasarela de pago seleccionada no es válida!,بوابة الدفع المحددة غير صالحة!,La passerelle de paiement sélectionnée n'est pas valide!
Password Change,Password Change,Cambio de contraseña,تغيير كلمة السر,Changement de mot de passe
Password updated successfully!,Password updated successfully!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة السر بنجاح!,Mot de passe mis à jour avec succès!
Oops! Basic settings not found!,Oops! Basic settings not found!,¡Ups! Configuración básica no encontrada!,أُووبس! الإعدادات الأساسية غير موجودة!,Oops! Paramètres de base introuvables!
Sorry! You have to configure first to send push notification.,Sorry! You have to configure first to send push notification.,¡Lo siento! Debe configurar primero para enviar una notificación push.,آسف! يجب عليك تكوين أولاً لإرسال إشعار الدفع.,Désolé! Vous devez d'abord configurer pour envoyer une notification push.
Please configure your push notification with valid credentials.,Please configure your push notification with valid credentials.,Configure su notificación push con credenciales válidas.,يرجى تكوين إشعار الدفع الخاص بك مع بيانات اعتماد صالحة.,Veuillez configurer votre notification push avec des informations d'identification valides.
Oops! Failed to store information.,Oops! Failed to store information.,¡Ups! No pudo almacenar información.,أُووبس! فشل في تخزين المعلومات.,Oops! Impossible de stocker des informations.
Notification sended successfully!,Notification sended successfully!,¡Notificación enviada con éxito!,أرسل الإخطار بنجاح!,Notification envoyée avec succès!
Oops! Basic setting not found!,Oops! Basic setting not found!,¡Ups! Configuración básica no encontrada!,أُووبس! الإعداد الأساسي لم يتم العثور عليه!,Oops! Paramètre de base introuvable!
Push notification configuration updated successfully!,Push notification configuration updated successfully!,¡Push Notification Configuration actualizada con éxito!,دفع تكوين إشعار تم تحديثه بنجاح!,Configuration de la notification push mise à jour avec succès!
Server Information,Server Information,información del servidor,معلومات الخادم,Informations sur le serveur
Default Template,Default Template,Plantilla predeterminada,القالب الافتراضي,Modèle par défaut
Invalid KYC or KYC not found!,Invalid KYC or KYC not found!,¡No se encuentran KYC o KYC inválido!,لم يتم العثور على KYC غير صالح أو KYC!,KYC ou KYC invalides non trouvés!
KYC status updated successfully!,KYC status updated successfully!,Estado de KYC actualizado con éxito!,تم تحديث حالة KYC بنجاح!,Le statut KYC a mis à jour avec succès!
Home Banner Section,Home Banner Section,Sección de banner de inicio,قسم لافتة المنزل,Section de bannière à domicile
Section updated successfully!,Section updated successfully!,Sección actualizada con éxito!,تم تحديث القسم بنجاح!,Section mise à jour avec succès!
Start Section,Start Section,Sección de inicio,بدء القسم,Section de démarrage
Section item delete successfully!,Section item delete successfully!,¡El elemento de sección elimina con éxito!,عنصر القسم حذف بنجاح!,Élément de section Supprimer avec succès!
Our Features Section,Our Features Section,Nuestra sección de características,قسم الميزات لدينا,Notre section de fonctionnalités
Item added successfully!,Item added successfully!,¡Artículo agregado con éxito!,البند أضيفت بنجاح!,Article ajouté avec succès!
Item delete successfully!,Item delete successfully!,¡Elemento eliminar con éxito!,العنصر حذف بنجاح!,Article Supprimer avec succès!
Works Section,Works Section,Sección de obras,قسم الأعمال,Section des travaux
Service Section,Service Section,Sección de servicio,قسم الخدمة,Section de service
Section item added successfully!,Section item added successfully!,Artículo de sección agregado correctamente!,تم إضافة عنصر القسم بنجاح!,L'article de section a ajouté avec succès!
Testimonial Section,Testimonial Section,Sección de testimonios,قسم الشهادة,Section de témoignage
Setup Blog Category,Setup Blog Category,Categoría de blog de configuración,فئة المدونة الإعداد,Configuration de la catégorie de blog
All Ticket,All Ticket,Todo el boleto,كل التذاكر,TOUT TICKET
Pending Ticket,Pending Ticket,Boleto pendiente,تذكرة معلقة,Billet en attente
Active Ticket,Active Ticket,Boleto activo,تذكرة نشطة,Billet actif
Solved Ticket,Solved Ticket,Boleto resuelto,تذكرة حل,Billet résolu
Support Chat,Support Chat,Chat de apoyo,دعم الدردشة,Chat d'assistance
Useful Link Edit,Useful Link Edit,Línea útil editar,تحرير رابط مفيد,Modifier le lien utile
Email Unverified Users,Email Unverified Users,Envíe un correo electrónico a usuarios no verificados,بريد إلكتروني لم يتم التحقق من المستخدمين,E-mail des utilisateurs non vérifiés
SMS Unverified Users,SMS Unverified Users,Usuarios no verificados de SMS,الرسائل القصيرة المستخدمين لم يتم التحقق منها,Utilisateurs SMS non vérifiés
User Details,User Details,Detalles de usuario,بيانات المستخدم,Coordonnées utilisateur
Login Logs,Login Logs,Iniciar sesión,سجلات تسجيل الدخول,Journaux de connexion
Opps! User doesn,Opps! User doesn,¡Opps! El usuario no,أوس! المستخدم لا,OPPS! L'utilisateur ne fait pas
KYC Profile,KYC Profile,Perfil de KYC,ملف KYC,Profil KYC
User doesn,User doesn,El usuario no,المستخدم لا,L'utilisateur ne fait pas
Setup Virtual Card Api,Setup Virtual Card Api,Configurar API de tarjeta virtual,إعداد واجهة برمجة تطبيقات البطاقة الافتراضية,Configuration de l'API de la carte virtuelle
Admin | Login,Admin | Login,Administrador | Acceso,المسؤول | تسجيل الدخول,Admin | Se connecter
sub-title,sub-title,subtitular,العنوان الفرعي,Sous-titre
Enter your account email address or username,Enter your account email address or username,Ingrese la dirección de correo electrónico o nombre de usuario de su cuenta,أدخل عنوان بريدك الإلكتروني أو اسم المستخدم,Entrez l'adresse e-mail de votre compte ou le nom d'utilisateur
Username OR Email Address,Username OR Email Address,Nombre de usuario o dirección de correo electrónico,اسم المستخدم أو البريد الالكتروني,Nom d'utilisateur ou adresse e-mail
Login,Login,Acceso,تسجيل الدخول,Se connecter
Welcome To,Welcome To,Bienvenido a,مرحبا بك في,Bienvenue à
Admin Panel,Admin Panel,Panel de administrador,لوحة الادارة,panneau d'administration
Username,Username,Nombre de usuario,اسم المستخدم,Nom d'utilisateur
Role,Role,Role,دور,Rôle
Category Name,Category Name,nombre de la categoría,اسم التصنيف,Nom de catégorie
Created Time,Created Time,Tiempo creado,خلق الوقت,Temps créé
SL NO,SL NO,SI. NO,SL. لا,SL Non
TXN Type,TXN Type,Tipo TXN,نوع TXN,Type TXN
Sender,Sender,Remitente,مرسل,Expéditeur
Receiver,Receiver,Receptor,المتلقي,Destinataire
Asset,Asset,Activo,أصل,Actif
Chain,Chain,Cadena,سلسلة,Chaîne
Block Number,Block Number,Número de bloque,حجب الرقم,Numéro de bloc
Not Used,Not Used,No utilizado,غير مستعمل,Non utilisé
Used,Used,Usado,مستخدم,Utilisé
Flag,Flag,Bandera,علَم,Drapeau
Name | Code,Name | Code,Nombre | Código,الاسم | شفرة,Nom | Code
Question,Question,Pregunta,سؤال,Question
Answer,Answer,Respuesta,إجابة,Répondre
Fullname,Fullname,Nombre completo,الاسم الكامل,Nom et prénom
Add Language,Add Language,Agregar lenguaje,إضافة لغة,Ajouter la langue
Edit Language,Edit Language,Editar lenguaje,تحرير اللغة,Modifier la langue
Select Language,Select Language,Seleccione el idioma,اختار اللغة,Choisir la langue
Add Activity,Add Activity,Agregar actividad,أضف النشاط,Ajouter une activité
Icon,Icon,Icono,أيقونة,Icône
Add Blog,Add Blog,Agregar blog,أضف مدونة,Ajouter un blog
Category,Category,Categoría,فئة,Catégorie
Select Category,Select Category,selecciona una categoría,اختر الفئة,Choisir une catégorie
Add Socail Icon,Add Socail Icon,Agregar icono Socail,أضف أيقونة الاجتماع,Ajouter l'icône SOCAIL
Link,Link,Enlace,وصلة,Lien
Social Icon,Social Icon,Icono social,أيقونة اجتماعية,Icône sociale
Add Testimonial,Add Testimonial,Agregar testimonio,إضافة شهادة,Ajouter le témoignage
Designation,Designation,Designación,تعيين,Désignation
Rating,Rating,Clasificación,تقييم,Notation
Add About,Add About,Agregar,أضف,Ajouter
Add Page,Add Page,Añadir página,إضافة صفحة,Ajouter une page
Page Name,Page Name,Nombre de la página,اسم الصفحة,Nom de la page
Add Admin,Add Admin,Agregar administrador,إضافة المسؤول,Ajouter l'administrateur
countryFlag,countryFlag,Bandera del país,علم الدولة,drapeau du pays
Admin Profile Image,Admin Profile Image,Imagen de perfil de administración,صورة ملف تعريف المسؤول,Image de profil d'administration
Select Role,Select Role,Rol de selección,حدد الدور,Sélectionner un rôle
Add Currency,Add Currency,Agregar moneda,أضف العملة,Ajouter de la monnaie
Country Flag,Country Flag,Bandera del país,علم الدولة,Drapeau du pays
Add New Screen,Add New Screen,Agregar nueva pantalla,أضف شاشة جديدة,Ajouter un nouvel écran
Add New Permission,Add New Permission,Agregar nuevo permiso,أضف إذنًا جديدًا,Ajouter une nouvelle autorisation
Permission Name,Permission Name,Nombre de permiso,اسم إذن,Nom d'autorisation
selectRole,selectRole,selectrolo,SelectRole,selectrole
Assign Permission Page/Task,Assign Permission Page/Task,Asignar la página/tarea de permiso,تعيين صفحة/مهمة إذن,Affecter la page / tâche d'autorisation
Edit Permission,Edit Permission,Editar permiso,تحرير الإذن,Modifier l'autorisation
Add New Role,Add New Role,Agregar un nuevo rol,أضف دورًا جديدًا,Ajouter un nouveau rôle
Role Name,Role Name,Nombre de rol,اسم الدور,Nom de rôle
Edit Role,Edit Role,Rol de edición,تحرير الدور,Modifier le rôle
Add New Category,Add New Category,Añadir nueva categoria,إضافة فئة جديدة,Ajouter une nouvelle catégorie
Edit Admin,Edit Admin,Editar administrador,تحرير المسؤول,Modifier l'administrateur
Edit Category,Edit Category,Editar categoria,تحرير الفئة,Modifier la catégorie
Edit Currency,Edit Currency,Editar moneda,تحرير العملة,Modifier la monnaie
Edit Faq,Edit Faq,Editar Preguntas frecuentes,تحرير الأسئلة الشائعة,Modifier la FAQ
Category Type,Category Type,Tipo de categoría,نوع الفئة,Type de catégorie
Edit Screen,Edit Screen,Pantalla de edición,تحرير الشاشة,Éditer l'écran
Update Extension,Update Extension,Extensión de actualización,تمديد تحديث,Mettre à jour l'extension
extension-name,extension-name,nombre de extensión,اسم التمديد,nom d'extension
Add New Faq,Add New Faq,Agregar nuevas preguntas frecuentes,أضف الأسئلة الشائعة الجديدة,Ajouter une nouvelle FAQ
Answer Details,Answer Details,Detalle de respuestas,تفاصيل الإجابة,Répondre aux détails
Rejejct KYC,Rejejct KYC,REJEJCT KYC,Rejejct KYC,REJEJCT KYC
Send Email,Send Email,Enviar correo electrónico,ارسل بريد الكتروني,Envoyer un e-mail
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار,Envoyer le courrier de test
Global Setting for,Global Setting for,Escenario global para,الإعداد العالمي ل,Cadre global pour
in bellow,in bellow,a la derecha,في دار العالي,en souffrance
title,Title,Título,عنوان,Titre
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ,Limite de montant
Minimum,Minimum,Mínimo,الحد الأدنى,Le minimum
Maximum,Maximum,Máximo,أقصى,Maximum
Percent,Percent,Por ciento,نسبه مئويه,Pour cent
Rate,Rate,Tasa,معدل,Taux
Total Supported Currency,Total Supported Currency,Moneda total compatible,إجمالي العملة المدعومة,Devise totale prise en charge
Fixed,Fixed,Fijado,مُثَبَّت,Fixé
Gateway Image,Gateway Image,Imagen de puerta de enlace,بوابة صورة,Image de passerelle
ex: Paypal,ex: Paypal,Ej: PayPal,على سبيل المثال: PayPal,Ex: Paypal
ex: United State Dollar,ex: United State Dollar,Ej: dólar estatal unido,على سبيل المثال: United State Dollar,Ex: Dollar des États-Unis
Currency Code,Currency Code,Código de moneda,رمز العملة,Code de devise
Currency Symbol,Currency Symbol,Símbolo de moneda,رمز العملة,Symbole de la monnaie
Collect Data,Collect Data,Recolectar datos,اجمع بيانات,Collecter des données
Field Name,Field Name,Nombre del campo,اسم الحقل,Nom de domaine
Field Types,Field Types,Tipos de campo,أنواع الحقل,Types de champ
Field Necessity,Field Necessity,Necesidad de campo,ضرورة الحقل,Nécessité de champ
"This ticket is solved, you can","This ticket is solved, you can","Este boleto está resuelto, puedes",تم حل هذه التذكرة ، يمكنك,"Ce billet est résolu, vous pouvez"
Pending Tickets,Pending Tickets,Boletos pendientes,تذاكر معلقة,Billets en attente
Solved Tickets,Solved Tickets,Boletos resueltos,حل التذاكر,Billets résolus
All Tickets,All Tickets,Todas las entradas,جميع التذاكر,Tous les billets
Support Details,Support Details,Detalles de soporte,تفاصيل الدعم,Détails du support
form-control,form-control,control de forma,السيطرة على النماذج,contrôler
Charges,Charges,Cargos,رسوم,Des charges
Fixed Charge,Fixed Charge,Cargo fijo,شحنة ثابتة,Charge fixe
Percent Charge,Percent Charge,Porcentaje de cargo,تكلفة في المئة,Pourcentage de frais
Range,Range,Rango,يتراوح,Gamme
Minimum Amount,Minimum Amount,Monto minimo,الحد الأدنى للمبلغ,Montant minimal
Maximum Amount,Maximum Amount,Cantidad máxima,الحد الأقصى للمبلغ,Quantité maximale
Admin,Admin,Administración,مسؤل,Administrer
Developed by,Developed by,Desarrollado por,طورت بواسطة,Développé par
Layout Mode,Layout Mode,Modo de diseño,وضع التصميم,Mode de mise en page
Dark Mode,Dark Mode,Modo oscuro,الوضع المظلم,Mode sombre
Light Mode,Light Mode,Modo de luz,وضع الضوء,Mode léger
Min Sidebar Color,Min Sidebar Color,Min Color de la barra lateral,لون الشريط الجانبي,Couleur de la barre latérale min
RTL Support,RTL Support,Soporte RTL,دعم RTL,Support RTL
form-control sidebar-search-input,form-control sidebar-search-input,Formulario-control de la barra lateral-Input de búsqueda,النماذج-السيطرة على الجانبية-إدخال البحث,format de formulaire
search,search,buscar,يبحث,recherche
Clear All,Clear All,Limpiar todo,امسح الكل,Tout effacer
No new notification found!,No new notification found!,¡No se encontró una nueva notificación!,لم يتم العثور على إشعار جديد!,Aucune nouvelle notification trouvée!
Admin Profile,Admin Profile,Perfil de administración,ملف تعريف المسؤول,Profil d'administration
Date,Date,Fecha,تاريخ,Date
TRX ID,TRX ID,TRX ID,معرف TRX,ID TRX
After Charge,After Charge,Después de la carga,بعد تهمة,Après frais
Payable,Payable,Pagadero,مستحق الدفع,Payable
Information of Logs,Information of Logs,Información de los registros,معلومات السجلات,Informations sur les journaux
Approve,Approve,Aprobar,يعتمد,Approuver
Reject,Reject,Rechazar,يرفض,Rejeter
Approved Confirmation,Approved Confirmation,Confirmación aprobada,التأكيد المعتمد,Confirmation approuvée
Are you sure to approved this request?,Are you sure to approved this request?,¿Seguro que aprobará esta solicitud?,هل أنت متأكد من وافق على هذا الطلب؟,Êtes-vous sûr d'approuver cette demande?
Approved,Approved,Aprobado,موافقة,Approuvé
Rejection Confirmation,Rejection Confirmation,Confirmación de rechazo,تأكيد الرفض,Confirmation de rejet
URI,URI,Uri,أوري,Uri
All Admin Roles,All Admin Roles,Todos los roles de administración,جميع أدوار المشرف,Tous les rôles d'administration
Asign Admin,Asign Admin,Asign Admin,asign المشرف,ASSIGN Admin
All Permissions,All Permissions,Todos los permisos,جميع الأذونات,Toutes les autorisations
Android App URL,Android App URL,URL de la aplicación Android,Android App URL,URL de l'application Android
iOS App URL,iOS App URL,URL de la aplicación iOS,IOS APP URL,URL de l'application iOS
Add Category,Add Category,añadir categoría,إضافة فئة,ajouter une catégorie
Contact Message,Contact Message,Mensaje de contacto,اتصل بالرسالة,Message de contact
Policy Link,Policy Link,Enlace de política,رابط السياسة,Lien de politique
Gateways,Gateways,Puertas de enlace,بوابات,Passerelles
Crypto Wallets,Crypto Wallets,Billeteras criptográficas,محافظ التشفير,Portefeuilles cryptographiques
Generate Wallets,Generate Wallets,Generar billeteras,توليد محافظ,Générer des portefeuilles
Wallet not present in some currency/coin.,Wallet not present in some currency/coin.,Billetera no presente en alguna moneda/moneda.,محفظة غير موجودة في بعض العملة/العملة.,Portefeuille non présent dans une monnaie / pièce.
Ex:,Ex:,Ex:,السابق:,Ex:
Click the generate wallets button to create dynamically wallets.,Click the generate wallets button to create dynamically wallets.,Haga clic en el botón Generar billeteras para crear billeteras dinámicas.,انقر فوق زر إنشاء المحافظ لإنشاء محافظ ديناميكية.,Cliquez sur le bouton Générer des portefeuilles pour créer des portefeuilles dynamiquement.
Add Wallet,Add Wallet,Agregar billetera,أضف محفظة,Ajouter le portefeuille
Mnemonic,Mnemonic,Mnemotécnico,ذاكري,Mnémonique
Xpub,Xpub,Xpub,xpub,Xpub
Private Key,Private Key,Llave privada,مفتاح سري,Clé privée
Public Address,Public Address,Direccion publica,عنوان عام,Adresse publique
Incoming Balance,Incoming Balance,Saldo entrante,توازن وارد,Équilibre entrant
Outgoing Balance,Outgoing Balance,Saldo saliente,التوازن الصادر,Équilibre sortant
Incoming Pending Balance,Incoming Pending Balance,Equilibrio pendiente entrante,واردة في انتظار التوازن,Équilibre en attente entrant
Outgoing Pending Balance,Outgoing Pending Balance,Saldo pendiente saliente,الرصيد المعلق الصادر,Équilibre sortant en attente
This Coin is Under Maintenance Or Need to Generate Wallet. You Can Add Wallet Manually By Clicking Add Button.,This Coin is Under Maintenance Or Need to Generate Wallet. You Can Add Wallet Manually By Clicking Add Button.,Esta moneda está bajo mantenimiento o necesita generar billetera. Puede agregar billetera manualmente haciendo clic en el botón Agregar.,هذه العملة تحت الصيانة أو الحاجة إلى إنشاء محفظة. يمكنك إضافة محفظة يدويًا عن طريق النقر فوق زر إضافة.,Cette pièce est sous l'entretien ou doit générer du portefeuille. Vous pouvez ajouter le portefeuille manuellement en cliquant sur le bouton Ajouter.
Add New Wallet,Add New Wallet,Agregar nueva billetera,أضف محفظة جديدة,Ajouter un nouveau portefeuille
Delete Wallet,Delete Wallet,Eliminar la billetera,حذف محفظة,Supprimer le portefeuille
Are you sure to delete this wallet?,Are you sure to delete this wallet?,¿Estás seguro de eliminar esta billetera?,هل أنت متأكد من حذف هذه المحفظة؟,Êtes-vous sûr de supprimer ce portefeuille?
Delete,Delete,Borrar,يمسح,Supprimer
Gateway Edit,Gateway Edit,Puerta de entrada editar,بوابة تحرير,Modifier la passerelle
Incoming Transactions,Incoming Transactions,Transacciones entrantes,المعاملات الواردة,Transactions entrantes
Transacitons,Transacitons,Transacitones,transacitons,Transacitons
Gateway,Gateway,Puerta,بوابة,passerelle
Coin,Coin,Moneda,عملة,Pièce de monnaie
Txn Hash,Txn Hash,TXN Hash,تجزئة TXN,Hachage txn
There is no default currency in your system.,There is no default currency in your system.,No hay moneda predeterminada en su sistema.,لا توجد عملة افتراضية في نظامك.,Il n'y a pas de devise par défaut dans votre système.
Last Month,Last Month,El mes pasado,الشهر الماضي,Le mois dernier
active_user,active_user,activo_user,Active_user,active_user
unverified_user,unverified_user,no verificado_user,unideftion_user,non vérifié_user
Instructions,Instructions,Instrucciones,تعليمات,Instructions
Setup FAQ,Setup FAQ,Preguntas frecuentes de configuración,إعداد الأسئلة الشائعة,FAQ de configuration
Add FAQ,Add FAQ,Agregar preguntas frecuentes,إضافة الأسئلة الشائعة,Ajouter la FAQ
Import,Import,Importar,يستورد,Importer
Download,Download,Descargar,تحميل,Télécharger
Language Keywords of English,Language Keywords of English,Palabras clave del idioma del inglés,كلمات اللغة الرئيسية للغة الإنجليزية,Mots-clés linguistiques de l'anglais
Money Out Details,Money Out Details,Detalles de Out Money,تفاصيل المال,Détails de l'argent
AGENT,AGENT,AGENTE,عامل,AGENT
MERCHANT,MERCHANT,COMERCIANTE,تاجر,MARCHAND
Payable Amount,Payable Amount,Cantidad a pagar,مبلغ مستحق الدفع,Montant payable
btn btn--base btn-loading,btn btn--base btn-loading,BTN BTN-BASE BTN-Cargue,BTN BTN-BASE BTN-LOADING,BTN BTN - Base BTN-chargement
Money Out Logs,Money Out Logs,Money Out Registros,سجلات الأموال,Journaux de l'argent
User Type,User Type,Tipo de usuario,نوع المستخدم,Type d'utilisateur
Update Gateway,Update Gateway,Actualización de la puerta de enlace,تحديث بوابة,Mettre à jour la passerelle
Callback URL,Callback URL,URL de devolución de llamada,عاود الاتصال بالعنوان,URL de rappel
Supported Currency,Supported Currency,Moneda compatible,العملة المدعومة,Devise soutenue
Enabled Currency,Enabled Currency,Moneda habilitada,عملة ممكّنة,Devise activée
